seedResourceAcquisitionFitness,seedMutationProbability,turn,seedPopulation,error
1.8,0.0,0,1.0,0.0
1.8,0.0,1,2.026666666666667,0.15224130183936668
1.8,0.0,2,3.62,0.34364133064351066
1.8,0.0,3,6.653333333333333,0.6684746219442363
1.8,0.0,4,11.815,1.1943510701454851
1.8,0.0,5,19.118333333333332,1.8740945557071385
1.8,0.0,6,28.763333333333332,2.658823449475406
1.8,0.0,7,39.25,3.3942694112824086
1.8,0.0,8,49.05166666666667,3.911039117327114
1.8,0.0,9,57.005,4.2463678344996225
1.8,0.0,10,64.36,4.499619506576529
1.8,0.0,11,69.675,4.73752601103331
1.8,0.0,12,73.35833333333333,4.8649771209364445
1.8,0.0,13,75.38833333333334,4.904887711773355
1.8,0.0,14,76.22333333333333,4.954353340684094
1.8,0.0,15,76.99333333333334,4.966899758769372
1.8,0.0,16,77.17,4.969427320586149
1.8,0.0,17,77.19833333333334,4.971697914265604
1.8,0.0,18,76.82333333333334,4.951311666788072
1.8,0.0,19,77.27333333333333,4.97536981497305
1.8,0.0,20,77.09,4.966170878042618
1.8,0.0,21,77.01666666666667,4.963094657906154
1.8,0.0,22,77.11,4.9658101399221835
1.8,0.0,23,77.13666666666667,4.9675060738725705
1.8,0.0,24,77.20833333333333,4.971797187726494
1.8,0.0,25,77.21833333333333,4.976038813094675
1.8,0.0,26,77.23166666666667,4.976328442073779
1.8,0.0,27,77.245,4.976854669358616
1.8,0.0,28,77.245,4.976854669358616
1.8,0.0,29,77.245,4.976854669358616
1.8,0.0,30,77.245,4.976854669358616
1.8,0.0,31,77.245,4.976854669358616
1.8,0.0,32,77.245,4.976854669358616
1.8,0.0,33,77.245,4.976854669358616
1.8,0.0,34,77.245,4.976854669358616
1.8,0.0,35,77.245,4.976854669358616
1.8,0.0,36,77.245,4.976854669358616
1.8,0.0,37,77.245,4.976854669358616
1.8,0.0,38,77.245,4.976854669358616
1.8,0.0,39,77.245,4.976854669358616
1.8,0.0,40,77.245,4.976854669358616
1.8,0.0,41,77.245,4.976854669358616
1.8,0.0,42,77.245,4.976854669358616
1.8,0.0,43,77.245,4.976854669358616
1.8,0.0,44,77.245,4.976854669358616
1.8,0.0,45,77.245,4.976854669358616
1.8,0.0,46,77.245,4.976854669358616
1.8,0.0,47,77.245,4.976854669358616
1.8,0.0,48,77.245,4.976854669358616
1.8,0.0,49,77.245,4.976854669358616
1.8,0.0,50,77.245,4.976854669358616
1.8,0.1,0,1.0,0.0
1.8,0.1,1,2.0016666666666665,0.15172137105484662
1.8,0.1,2,3.595,0.3506815250992035
1.8,0.1,3,6.225,0.6892265629052297
1.8,0.1,4,10.306666666666667,1.1688259952216082
1.8,0.1,5,16.18166666666667,1.7711789631883796
1.8,0.1,6,23.156666666666666,2.4923404879546
1.8,0.1,7,31.428333333333335,3.2034111338637956
1.8,0.1,8,39.05166666666667,3.767407559586097
1.8,0.1,9,46.068333333333335,4.193524729174321
1.8,0.1,10,52.895,4.635865411998907
1.8,0.1,11,57.52,4.8457469241713795
1.8,0.1,12,60.605,4.989352816291891
1.8,0.1,13,62.836666666666666,5.106068610237664
1.8,0.1,14,65.24333333333334,5.227238679137315
1.8,0.1,15,65.98666666666666,5.2344042498363805
1.8,0.1,16,67.16166666666666,5.302819592399736
1.8,0.1,17,67.67666666666666,5.318498914624506
1.8,0.1,18,67.83833333333334,5.31433898901993
1.8,0.1,19,68.22,5.330346944343688
1.8,0.1,20,68.265,5.326559349950244
1.8,0.1,21,68.34833333333333,5.332627163374241
1.8,0.1,22,68.55333333333333,5.343540995524741
1.8,0.1,23,68.905,5.372008480780764
1.8,0.1,24,68.77166666666666,5.356936661989572
1.8,0.1,25,68.98166666666667,5.364117365031234
1.8,0.1,26,68.96666666666667,5.366646468793526
1.8,0.1,27,69.0,5.370684742096323
1.8,0.1,28,68.95333333333333,5.367819746338753
1.8,0.1,29,68.875,5.36374082916803
1.8,0.1,30,68.96166666666667,5.368924224142894
1.8,0.1,31,68.98166666666667,5.36897344980251
1.8,0.1,32,69.04333333333334,5.362691429252735
1.8,0.1,33,69.13833333333334,5.36792416584435
1.8,0.1,34,69.09833333333333,5.362516710262788
1.8,0.1,35,69.18166666666667,5.36667027650148
1.8,0.1,36,69.11,5.365810868387939
1.8,0.1,37,69.105,5.365301890214319
1.8,0.1,38,69.10333333333334,5.366918212091633
1.8,0.1,39,69.17166666666667,5.368133256257629
1.8,0.1,40,69.13833333333334,5.3672683450477265
1.8,0.1,41,69.16166666666666,5.371294370188096
1.8,0.1,42,69.16666666666667,5.3699182873171125
1.8,0.1,43,69.135,5.366290554005914
1.8,0.1,44,69.17666666666666,5.367700569140972
1.8,0.1,45,69.19666666666667,5.3709743534495615
1.8,0.1,46,69.22166666666666,5.374872318206009
1.8,0.1,47,69.21166666666667,5.370348633683612
1.8,0.1,48,69.25,5.372877971539467
1.8,0.1,49,69.25333333333333,5.375064294156324
1.8,0.1,50,69.23666666666666,5.37152610341883
1.8,0.2,0,1.0,0.0
1.8,0.2,1,2.006666666666667,0.15092819547613967
1.8,0.2,2,3.52,0.36729435192548765
1.8,0.2,3,5.756666666666667,0.653537881138309
1.8,0.2,4,8.873333333333333,1.0845058251455084
1.8,0.2,5,13.098333333333333,1.593913691098921
1.8,0.2,6,17.836666666666666,2.166888465072496
1.8,0.2,7,23.55,2.779425053925099
1.8,0.2,8,29.461666666666666,3.3655069308307937
1.8,0.2,9,34.62166666666667,3.7994940340276955
1.8,0.2,10,39.62,4.2219846009649515
1.8,0.2,11,44.025,4.5805938397352435
1.8,0.2,12,47.348333333333336,4.825505675206543
1.8,0.2,13,49.80166666666667,4.9595276439359
1.8,0.2,14,52.04666666666667,5.136493797394309
1.8,0.2,15,53.62166666666667,5.248875263919935
1.8,0.2,16,55.001666666666665,5.374398208098924
1.8,0.2,17,55.86833333333333,5.407913592934456
1.8,0.2,18,55.861666666666665,5.40819801865981
1.8,0.2,19,56.36333333333334,5.420549726243202
1.8,0.2,20,56.89,5.453396826940306
1.8,0.2,21,56.97666666666667,5.439930993837187
1.8,0.2,22,57.26166666666666,5.468427437470858
1.8,0.2,23,57.38166666666667,5.478632769939232
1.8,0.2,24,57.42,5.473878281547869
1.8,0.2,25,57.583333333333336,5.488846921705175
1.8,0.2,26,57.79,5.496751636021074
1.8,0.2,27,57.79666666666667,5.497310967060621
1.8,0.2,28,57.913333333333334,5.498903722794644
1.8,0.2,29,58.06333333333333,5.511729012894534
1.8,0.2,30,58.07833333333333,5.513400213261846
1.8,0.2,31,58.18,5.519022034611609
1.8,0.2,32,58.23833333333334,5.525477273560384
1.8,0.2,33,58.255,5.52310366166293
1.8,0.2,34,58.236666666666665,5.523357944579949
1.8,0.2,35,58.51166666666666,5.5461338155886395
1.8,0.2,36,58.45166666666667,5.534804950952861
1.8,0.2,37,58.38666666666666,5.5323797549664775
1.8,0.2,38,58.475,5.53312814385783
1.8,0.2,39,58.35666666666667,5.525855432069214
1.8,0.2,40,58.34166666666667,5.527104828003452
1.8,0.2,41,58.40833333333333,5.534136202888192
1.8,0.2,42,58.32333333333333,5.528375661055044
1.8,0.2,43,58.42,5.535719864125731
1.8,0.2,44,58.38,5.530109088083641
1.8,0.2,45,58.458333333333336,5.53349008926584
1.8,0.2,46,58.37,5.5312262673863515
1.8,0.2,47,58.355,5.527812413341721
1.8,0.2,48,58.47,5.5353058457813376
1.8,0.2,49,58.475,5.533038208964534
1.8,0.2,50,58.49166666666667,5.530726602611416
1.8,0.3,0,1.0,0.0
1.8,0.3,1,1.955,0.14595008629295259
1.8,0.3,2,3.3266666666666667,0.35639994093582805
1.8,0.3,3,5.163333333333333,0.6546018759119914
1.8,0.3,4,7.486666666666666,1.0236549079772903
1.8,0.3,5,10.353333333333333,1.4876581503268866
1.8,0.3,6,13.621666666666666,1.9618205388751715
1.8,0.3,7,16.916666666666668,2.392610648569825
1.8,0.3,8,20.938333333333333,2.9234897222699843
1.8,0.3,9,24.64666666666667,3.3705029462522695
1.8,0.3,10,27.925,3.732611860067127
1.8,0.3,11,31.09,4.056518045357205
1.8,0.3,12,34.335,4.405713348718265
1.8,0.3,13,36.45333333333333,4.6172068447342305
1.8,0.3,14,38.315,4.763662371740452
1.8,0.3,15,40.013333333333335,4.934238973845446
1.8,0.3,16,41.31666666666667,5.043595815663053
1.8,0.3,17,43.181666666666665,5.228202415469909
1.8,0.3,18,43.235,5.199309065367359
1.8,0.3,19,44.016666666666666,5.256960280459182
1.8,0.3,20,44.70166666666667,5.318426705655455
1.8,0.3,21,45.22833333333333,5.379934863521676
1.8,0.3,22,45.64333333333333,5.413665101120181
1.8,0.3,23,45.775,5.417087059104212
1.8,0.3,24,46.083333333333336,5.456922451552572
1.8,0.3,25,46.236666666666665,5.470022159654157
1.8,0.3,26,46.28666666666667,5.467036630634219
1.8,0.3,27,46.47666666666667,5.491411387893564
1.8,0.3,28,46.60166666666667,5.500214563418005
1.8,0.3,29,46.788333333333334,5.516365828318385
1.8,0.3,30,46.748333333333335,5.516587800977639
1.8,0.3,31,46.54833333333333,5.496102901998221
1.8,0.3,32,46.681666666666665,5.517752309498796
1.8,0.3,33,46.833333333333336,5.538041877142589
1.8,0.3,34,46.845,5.540479475134049
1.8,0.3,35,46.72833333333333,5.535297951885873
1.8,0.3,36,46.875,5.557174915294276
1.8,0.3,37,46.815,5.5472711020078265
1.8,0.3,38,46.791666666666664,5.545527386072834
1.8,0.3,39,46.885,5.555707908180246
1.8,0.3,40,46.82833333333333,5.551184929232086
1.8,0.3,41,46.91166666666667,5.562055782485196
1.8,0.3,42,46.945,5.5682203583482135
1.8,0.3,43,46.94,5.563767842849387
1.8,0.3,44,46.96,5.564150760643017
1.8,0.3,45,46.95166666666667,5.5648604773386126
1.8,0.3,46,46.98166666666667,5.567378939540426
1.8,0.3,47,47.01166666666666,5.56981506183655
1.8,0.3,48,47.025,5.569837739163141
1.8,0.3,49,47.06666666666667,5.576826320531062
1.8,0.3,50,47.11666666666667,5.582317013252798
1.8,0.4,0,1.0,0.0
1.8,0.4,1,1.9983333333333333,0.1520853577593173
1.8,0.4,2,2.9833333333333334,0.334302371333417
1.8,0.4,3,4.026666666666666,0.5338173333947713
1.8,0.4,4,5.471666666666667,0.8390853554510729
1.8,0.4,5,7.128333333333333,1.1652849699189831
1.8,0.4,6,9.051666666666666,1.5439787561142593
1.8,0.4,7,11.02,1.9024831810564553
1.8,0.4,8,12.893333333333333,2.2580668594307927
1.8,0.4,9,14.793333333333333,2.572895384895986
1.8,0.4,10,16.635,2.9122224070208773
1.8,0.4,11,18.303333333333335,3.194249886197067
1.8,0.4,12,19.61,3.420185388371369
1.8,0.4,13,20.97833333333333,3.6728449632374947
1.8,0.4,14,22.071666666666665,3.8310786793787557
1.8,0.4,15,23.075,3.9852620601261073
1.8,0.4,16,24.44333333333333,4.215411250402273
1.8,0.4,17,24.801666666666666,4.276224466555327
1.8,0.4,18,25.731666666666666,4.435390159667708
1.8,0.4,19,26.64,4.571063421043334
1.8,0.4,20,27.168333333333333,4.632718889301355
1.8,0.4,21,27.308333333333334,4.625161864354016
1.8,0.4,22,28.156666666666666,4.7705669032060065
1.8,0.4,23,28.111666666666668,4.768681699535438
1.8,0.4,24,28.545,4.822377738661707
1.8,0.4,25,28.811666666666667,4.862263446144524
1.8,0.4,26,28.81833333333333,4.862398915689035
1.8,0.4,27,29.09,4.896562640709934
1.8,0.4,28,29.195,4.920568500180941
1.8,0.4,29,29.576666666666668,4.96848486743761
1.8,0.4,30,29.515,4.962114265641233
1.8,0.4,31,29.391666666666666,4.948134939384296
1.8,0.4,32,29.575,4.97744277620054
1.8,0.4,33,29.621666666666666,4.992011237678227
1.8,0.4,34,29.533333333333335,4.987697570300359
1.8,0.4,35,29.68,5.008110694768767
1.8,0.4,36,29.815,5.029919055758139
1.8,0.4,37,29.745,5.010898364609947
1.8,0.4,38,29.78,5.0128160478486095
1.8,0.4,39,29.7,5.010541609930755
1.8,0.4,40,29.813333333333333,5.02502621598865
1.8,0.4,41,29.815,5.024427193575772
1.8,0.4,42,29.69333333333333,5.023306652614657
1.8,0.4,43,29.846666666666668,5.040828942875272
1.8,0.4,44,29.80666666666667,5.038765840060439
1.8,0.4,45,29.755,5.030480588704151
1.8,0.4,46,29.80666666666667,5.034587019615426
1.8,0.4,47,29.781666666666666,5.032724873255571
1.8,0.4,48,29.731666666666666,5.029419488136366
1.8,0.4,49,29.755,5.032308452502566
1.8,0.4,50,29.85,5.043520295126147
1.8,0.5,0,1.0,0.0
1.8,0.5,1,1.95,0.15469875059132443
1.8,0.5,2,3.0933333333333333,0.3464033770177677
1.8,0.5,3,4.128333333333333,0.5637660493257277
1.8,0.5,4,5.053333333333334,0.8141899641529671
1.8,0.5,5,5.961666666666667,1.0648156126561377
1.8,0.5,6,6.855,1.3032807163135427
1.8,0.5,7,7.601666666666667,1.55321651674749
1.8,0.5,8,8.241666666666667,1.7766997134062947
1.8,0.5,9,9.056666666666667,2.027301455264838
1.8,0.5,10,9.648333333333333,2.2046333524138753
1.8,0.5,11,10.106666666666667,2.333007113353764
1.8,0.5,12,10.511666666666667,2.4722815020406106
1.8,0.5,13,11.096666666666666,2.646853118477459
1.8,0.5,14,11.5,2.7494757472144045
1.8,0.5,15,11.845,2.839307693030902
1.8,0.5,16,12.266666666666667,2.958989427335297
1.8,0.5,17,12.935,3.1404597566597534
1.8,0.5,18,12.905,3.1272483910295996
1.8,0.5,19,13.226666666666667,3.2192919558892648
1.8,0.5,20,13.335,3.2604276252478943
1.8,0.5,21,13.206666666666667,3.227774308941134
1.8,0.5,22,13.738333333333333,3.391415977780035
1.8,0.5,23,13.493333333333334,3.3591947429559657
1.8,0.5,24,13.615,3.4091567247599954
1.8,0.5,25,13.683333333333334,3.422063077738006
1.8,0.5,26,13.848333333333333,3.4884322643002896
1.8,0.5,27,13.676666666666666,3.4873915064352765
1.8,0.5,28,13.495,3.449976918200747
1.8,0.5,29,13.486666666666666,3.4632849935012313
1.8,0.5,30,13.286666666666667,3.4336036855972925
1.8,0.5,31,13.201666666666666,3.44357272568511
1.8,0.5,32,13.161666666666667,3.4531255647469674
1.8,0.5,33,13.208333333333334,3.502598963824637
1.8,0.5,34,13.263333333333334,3.5259926180267485
1.8,0.5,35,13.185,3.508480775158395
1.8,0.5,36,12.995,3.4880724210266827
1.8,0.5,37,13.006666666666666,3.5038695177540244
1.8,0.5,38,12.936666666666667,3.5063345798202405
1.8,0.5,39,12.916666666666666,3.5252906702163944
1.8,0.5,40,12.82,3.508754173269839
1.8,0.5,41,12.87,3.531120383095839
1.8,0.5,42,13.0,3.5681770402241764
1.8,0.5,43,13.018333333333333,3.5650734804966433
1.8,0.5,44,12.948333333333334,3.557814588557161
1.8,0.5,45,13.006666666666666,3.5697984687408137
1.8,0.5,46,12.88,3.562375341378962
1.8,0.5,47,12.803333333333333,3.554449466223632
1.8,0.5,48,12.683333333333334,3.5387844886838504
1.8,0.5,49,12.691666666666666,3.542631493358268
1.8,0.5,50,12.69,3.5603337234790597
